tweet_id,youtube_id
1919751767937404993,P-MSGxcKOZA
1920284547951833580,zHEi2h_yHv0
1920284547951833580,3YfeLw4bnDU
1920287007986573531,zHEi2h_yHv0
1920287007986573531,3YfeLw4bnDU
1920292160462618879,zHEi2h_yHv0
1920292160462618879,3YfeLw4bnDU
1920295058827334036,zHEi2h_yHv0
1920295058827334036,3YfeLw4bnDU
1922251966899482966,Mxni1vpk5A4
1922391729287614605,Mxni1vpk5A4
1922431981507244183,Mxni1vpk5A4
1922457233863913819,Mxni1vpk5A4
1927464835643548112,pFOZmzUGSxE
1927545919538594007,pFOZmzUGSxE
1932415894841409547,YP1_B2itDhI
1932415894841409547,uKRnrw1rwLU
1932415894841409547,aTPk8y6NOhU
1932417547246387266,YP1_B2itDhI
1932417547246387266,uKRnrw1rwLU
1932417547246387266,aTPk8y6NOhU
1932629248516202649,YP1_B2itDhI
1932629248516202649,uKRnrw1rwLU
1932629248516202649,aTPk8y6NOhU
1932630524708757702,YP1_B2itDhI
1932630524708757702,uKRnrw1rwLU
1932630524708757702,aTPk8y6NOhU
1932631588761702754,YP1_B2itDhI
1932631588761702754,uKRnrw1rwLU
1932631588761702754,aTPk8y6NOhU
2001144695020216416,mjsMkzv4ym0
2001144695020216416,Dx0tca0LMxw
2001315240655356368,mjsMkzv4ym0
2001315240655356368,Dx0tca0LMxw
2041862011026329882,BBK59ODdm8Y
2041930186292170777,BBK59ODdm8Y
2041930186652815510,BBK59ODdm8Y
2049456364590637201,JU3bjZB9LeU
